Year,Month,Week,Infected,Avg household size,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,indexedCountry,indexedRegion,indexedDisease
2010,2,5,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,2,5,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,2,6,3,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,2,6,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,2,6,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,2,7,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,2,7,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,2,7,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,2,8,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,2,8,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,2,8,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,3,9,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,3,9,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,3,9,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,3,10,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,3,10,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,3,10,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,3,11,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,3,11,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,3,11,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,3,12,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,3,12,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,3,12,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,4,13,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,4,13,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,4,13,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,4,14,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,4,14,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,4,14,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,4,15,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,4,15,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,4,15,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,4,16,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,4,16,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,4,16,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,5,17,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,5,17,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,5,17,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,5,18,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,5,18,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,5,18,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,5,19,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,5,19,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,5,19,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,5,20,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,5,20,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,5,20,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
